0.0205389 -0.0263542 0.0300971 5.5
0.0413725 -0.052667 0.0596646 5.5
0.0622123 -0.0781496 0.0873351 5.5
0.082771 -0.102035 0.111821 5.5
0.102769 -0.123605 0.131978 5.5
0.121939 -0.142213 0.146855 5.5
0.140034 -0.157303 0.155746 5.5
0.156828 -0.168428 0.158215 5.5
0.172125 -0.175264 0.15412 5.5
0.185759 -0.177618 0.143612 5.5
0.197597 -0.175427 0.127129 5.5
0.207542 -0.168765 0.105366 5.5
0.215533 -0.157827 0.0792458 5.5
0.221545 -0.142927 0.049866 5.5
0.225585 -0.124481 0.0184496 5.5
0.227695 -0.102988 -0.013714 5.5
0.227946 -0.0790158 -0.0453276 5.5
0.226438 -0.0531756 -0.0751432 5.5
0.223289 -0.0261042 -0.102014 5.5
0.218642 0.00155801 -0.124942 5.5
0.212651 0.0291858 -0.14311 5.5
0.205483 0.0561875 -0.155915 5.5
0.197311 0.0820202 -0.162977 5.5
0.188308 0.106203 -0.164147 5.5
0.178651 0.128325 -0.159503 5.5
0.168507 0.148056 -0.149329 5.5
0.15804 0.165146 -0.134098 5.5
0.1474 0.179428 -0.114437 5.5
0.136728 0.190814 -0.0910958 5.5
0.126149 0.199294 -0.0649065 5.5
0.115775 0.204925 -0.0367491 5.5
0.105703 0.207828 -0.00751339 5.5
0.0960113 0.208173 0.0219353 5.5
0.0867667 0.206173 0.0507853 5.5
0.0780197 0.202074 0.0783041 5.5
0.0698068 0.196142 0.103858 5.5
0.0621521 0.188657 0.126924 5.5
0.0550677 0.179901 0.147101 5.5
0.0485557 0.170151 0.164107 5.5
0.042609 0.159674 0.177782 5.5
0.0372132 0.14872 0.188076 5.5
0.0323476 0.137518 0.195042 5.5
0.0279865 0.126272 0.198819 5.5
0.0241007 0.115161 0.199622 5.5
0.0206585 0.104336 0.197722 5.5
0.0176265 0.0939224 0.193431 5.5
0.0149707 0.0840185 0.18709 5.5
0.0126571 0.0746983 0.17905 5.5
0.0106526 0.0660132 0.169663 5.5
0.00892509 0.0579939 0.159267 5.5
0.00744414 0.0506537 0.148183 5.5
0.00618114 0.0439904 0.136704 5.5
0.00510956 0.0379891 0.125092 5.5
0.00420499 0.032625 0.113572 5.5
0.00344524 0.0278652 0.102336 5.5
0.00281031 0.0236715 0.0915382 5.5
0.00228232 0.0200017 0.0812994 5.5
0.00184539 0.0168117 0.0717077 5.5
0.00148559 0.0140567 0.0628222 5.5
0.00119073 0.0116924 0.0546759 5.5
